id,Arcana,Number,Suit,Name,Meaning
59,2,5,3,Five of Pentacles,"Financial loss, poverty, lack mindset, isolation, worry."
60,2,6,3,Six of Pentacles,"Giving, receiving, sharing wealth, generosity, charity."
61,2,7,3,Seven of Pentacles,"Long-term view, sustainable results, perseverance, investment."
62,2,8,3,Eight of Pentacles,"Apprenticeship, repetitive tasks, mastery, skill development."
63,2,9,3,Nine of Pentacles,"Abundance, luxury, self-sufficiency, financial independence."
64,2,10,3,Ten of Pentacles,"Wealth, financial security, family, long-term success, contribution."
65,2,11,4,Page of Swords,"New ideas, curiosity, thirst for knowledge, new ways of communicating"
66,2,12,4,Knight of Swords,"Ambitious, action-oriented, driven to succeed, fast-thinking"
67,2,13,4,Queen of Swords,"Independent, unbiased judgement, clear boundaries, direct communication"
68,2,14,4,King of Swords,"Mental clarity, intellectual power, authority, truth"
69,2,1,4,Ace of Swords,"Breakthroughs, new ideas, mental clarity, success"
70,2,2,4,Two of Swords,"Difficult decisions, weighing up options, an impasse, avoidance"
71,2,3,4,Three of Swords,"Heartbreak, emotional pain, sorrow, grief, hurt"
72,2,4,4,Four of Swords,"Rest, relaxation, meditation, contemplation, recuperation"
73,2,5,4,Five of Swords,"Conflict, disagreements, competition, defeat, winning at all costs"
74,2,6,4,Six of Swords,"Transition, change, rite of passage, releasing baggage."
75,2,7,4,Seven of Swords,"Betrayal, deception, getting away with something, acting strategically"
76,2,8,4,Eight of Swords,"Negative thoughts, self-imposed restriction, imprisonment, victim mentality"
77,2,9,4,Nine of Swords,"Anxiety, worry, fear, depression, nightmares"
78,2,10,4,Ten of Swords,"Painful endings, deep wounds, betrayal, loss, crisis"
